feature,xgboost_importance,random_forest_importance,logistic_regression_importance,avg_importance
location_squared,0.03322983,0.025951400419681546,4.579341060010596,1.5461740973454756
location_cubed,0.03867284,0.04515394861996173,3.80013337587493,1.294653387618321
amount_squared,0.1258845,0.08418626293918259,3.5431250327019814,1.2510652662557695
amount_cubed,0.1332221,0.09785527669666509,2.9150380991523757,1.048705159655979
amount,0.002978474,0.07065042190264086,2.1214120732874884,0.731680323030626
time,0.025251903,0.038140624818862906,1.7567787746840091,0.6067237673809126
location,0.017088043,0.034988416340192216,1.5410779217637065,0.5310514602253464
time_cubed,0.047586527,0.03151595181043614,0.9799780503186485,0.3530268429502668
amount_feature_4_ratio,0.0050963825,0.004619883932645245,0.3920424611176761,0.13391957583726985
amount_time_interaction,0.0030775126,0.017699568465672267,0.3269322599525262,0.11590311367505897
amount_time_ratio,0.03344198,0.0744456173285645,0.15611903717272893,0.08800221131311997
time_of_day,0.0562923,0.05153903033287143,0.1290495901412163,0.07896030655177022
feature_3,0.0073503093,0.004971110335656899,0.22179858963619145,0.0780400030860383
feature_14_rolling_mean,0.0023826635,0.0023257337559031625,0.2193668677559848,0.07469175501871846
amount_rolling_mean,0.0029854549,0.0070821213265340995,0.20964054212270283,0.07323603943739142
feature_4,0.0059179873,0.0037872919120055396,0.20241352080010325,0.0707062666775603
feature_4_rolling_mean,0.0032771244,0.002411114168988023,0.20448487784272318,0.07005770546103027
amount_category,0.02508647,0.04077371553947026,0.14211786178365748,0.06932601575713984
merchant_type,0.0351271,0.019110369013886026,0.1483953856548041,0.06754428475736822
amount_feature_19_ratio,0.0046178326,0.004162712362394358,0.18919772778251567,0.06599275758199348
feature_9,0.003952449,0.002387381214621745,0.18081816220734448,0.0623859975365342
feature_1_rolling_std,0.0050241784,0.002872311474310131,0.17258159807146514,0.06015936265501248
feature_5_rolling_std,0.0059375656,0.003941663392727747,0.15757223257518085,0.055817153850548105
time_squared,0.039129987,0.029487966326162126,0.09508926512124045,0.054569072935483166
feature_11_rolling_std,0.0041619167,0.003145842006703504,0.154768435681704,0.05402539812053032
feature_0_rolling_std,0.00656523,0.0030541425735523646,0.1437547012282193,0.051124691256336056
feature_7,0.0030184784,0.0023938937844165567,0.14792055328264012,0.05111097515477889
feature_2_rolling_mean,0.0027907537,0.002376511791539092,0.14242099446134887,0.04919608666084313
time_rolling_std,0.006542201,0.002665178368360423,0.12832528853663172,0.045844222686308715
feature_2,0.0034285865,0.0021075750550004777,0.13114167365414123,0.045559278411661415
amount_feature_14_ratio,0.0026689603,0.0029629700377292512,0.12831721002213736,0.04464971343754778
amount_rolling_std,0.00236245,0.01603512498872295,0.11230380358439285,0.04356712615313104
feature_17_rolling_mean,0.0039143376,0.0034024313449316787,0.12137496671950171,0.04289724522322378
amount_location_ratio,0.0037123165,0.0020437678525018865,0.12095076541600312,0.042235616592613746
feature_19,0.0051721204,0.002206717950117018,0.11795228063078281,0.04177703966270784
time_rolling_mean,0.0030462977,0.0032582168945290355,0.11562493998822122,0.04064315152794198
feature_0,0.0019938222,0.0020869646658224256,0.11708916778383396,0.04038998487211753
feature_17_rolling_std,0.0038916664,0.0030438277311527176,0.11007962145377323,0.03900503853491002
feature_1_rolling_mean,0.0030624003,0.0025378381003792767,0.10862209680632215,0.03807411172503073
feature_10,0.003134839,0.0022468217601696204,0.0991439903970286,0.03484188372036796
feature_14,0.0021681804,0.00167380181347031,0.09814642254839817,0.03399613492762108
feature_3_rolling_mean,0.006056234,0.004397882999289607,0.09108277059045859,0.03384562912153961
feature_17,0.005091116,0.0025162322364259094,0.09270462633900607,0.033437324802586925
feature_13_rolling_std,0.003452628,0.003020012118372002,0.09177888538887763,0.03275050847562131
feature_12_rolling_mean,0.0039513386,0.0024768218863645774,0.09142041954652358,0.032616193339451434
feature_18_rolling_std,0.0034344678,0.002606402385154025,0.08983368498509489,0.031958185066050054
feature_3_rolling_std,0.0027297337,0.0015162150616584596,0.08639288521626184,0.030212944661767858
feature_8_rolling_mean,0.0045348634,0.002877816152389699,0.08195191318761584,0.029788197580403297
feature_9_rolling_std,0.0059549995,0.004045003991163263,0.07777916759873105,0.02925972368885518
feature_13,0.003038074,0.002085236953979891,0.08264388252814737,0.02925573112401281
feature_19_rolling_std,0.0032376838,0.0034540248303040126,0.07910725703546168,0.028599655219144305
feature_15_rolling_std,0.004414876,0.0021199863496648725,0.07509075345615221,0.027208538599153186
amount_feature_3_ratio,0.003144579,0.0034637545025370826,0.07369361320142528,0.026767315570727996
feature_10_rolling_mean,0.006176172,0.002957670304498627,0.070003285548172,0.02637904255900223
feature_15,0.0027747476,0.002429772317746063,0.07332561926346179,0.02617671304514022
feature_15_rolling_mean,0.0060367277,0.0027421657084943088,0.0690430229903161,0.02594063879600567
feature_19_rolling_mean,0.003196014,0.002431586304255408,0.07192719049756387,0.025851596964397257
feature_18_rolling_mean,0.004628764,0.002228016665107367,0.0705386155108083,0.025798465391901875
amount_location_interaction,0.009566957,0.039785671432135426,0.024934222228659795,0.024762283597274466
location_rolling_mean,0.012156029,0.006622315567474313,0.05347552092554603,0.02408462190828889
feature_16_rolling_mean,0.0021372263,0.0021157174586903336,0.06690094542775199,0.023717963057285078
feature_9_rolling_mean,0.0049643493,0.003130421731939122,0.06147929481041269,0.02319135528936604
feature_13_rolling_mean,0.0034327488,0.0024054620848706185,0.05597085816707883,0.020603023030402862
amount_feature_12_ratio,0.0032643806,0.002899755623567826,0.05390274472362315,0.020022293655373613
amount_merchant_type_ratio,0.0054994286,0.0037329124500003245,0.049809637315687584,0.019680659456495355
amount_feature_11_ratio,0.002913526,0.0019448294710766782,0.052553163053787606,0.019137172850465446
feature_0_rolling_mean,0.0037937167,0.0014937817699928336,0.051448412371548666,0.0189119702683454
amount_feature_2_ratio,0.0022976436,0.0022396875097829114,0.046117729365717335,0.016885020149197433
feature_5_rolling_mean,0.0041068327,0.003083525227321616,0.042011414693265366,0.016400590862924072
feature_6_rolling_std,0.003929909,0.002352066136116526,0.04170244670107441,0.01599480723007173
merchant_type_rolling_mean,0.005279386,0.002681160926748202,0.039663723037621015,0.015874756638261846
feature_12_rolling_std,0.0037341204,0.002161356336111021,0.04151905347519882,0.015804843403977444
amount_feature_16_ratio,0.0051210662,0.004409970231802423,0.03735718469784134,0.015629407054883207
feature_2_rolling_std,0.003961262,0.0019183305454456045,0.037251236975266874,0.014376943116070384
amount_feature_15_ratio,0.004007403,0.006454818996226938,0.03247361833167673,0.014311946711792603
amount_feature_13_ratio,0.0025705032,0.006974669175830292,0.03337666921723093,0.01430728051718535
amount_feature_18_ratio,0.0035473993,0.003620456499636058,0.035159280886351806,0.01410904556359835
feature_4_rolling_std,0.0021810238,0.0022248809090439125,0.03788281857587054,0.014096241103291482
feature_11_rolling_mean,0.009470593,0.004086203213580869,0.02777058156506243,0.013775792654292005
merchant_type_rolling_std,0.004474065,0.004044529673848715,0.030965245791677407,0.013161280088804808
amount_feature_17_ratio,0.0031091738,0.004385473152569967,0.028455577079468088,0.0119834080270877
feature_6,0.0021218203,0.0020156866720620723,0.031485350698592214,0.011874285906012633
feature_16_rolling_std,0.0025907282,0.0017591926126643493,0.028889213922583097,0.011079711586811305
feature_14_rolling_std,0.0041562696,0.0027226487533835715,0.025268074536832406,0.010715664296322746
feature_6_rolling_mean,0.0022811845,0.0020515638660942278,0.027163318033371887,0.010498688813509212
feature_11,0.005087296,0.002111196634926933,0.024069020973784886,0.010422504540500277
amount_feature_8_ratio,0.0025592193,0.0055029000748847935,0.021772277979663506,0.009944799102909697
feature_12,0.0025171526,0.0020343678876480254,0.025064657912379506,0.009872059459222052
feature_18,0.005012734,0.0029952830677961724,0.020813060744202135,0.009607025891267438
feature_1,0.004995688,0.0031776670154758653,0.0205677396002572,0.009580364826817962
amount_feature_7_ratio,0.0054348465,0.005006390742048056,0.015799964086298066,0.008747067111289615
feature_7_rolling_std,0.008892836,0.00351403009522189,0.011255504413227842,0.007887456852549614
amount_feature_6_ratio,0.003601352,0.0037750918746006687,0.01625625735421209,0.007877567071506879
amount_feature_0_ratio,0.004289751,0.0036330790742501494,0.014367750018122735,0.007430193344490206
amount_feature_1_ratio,0.0038883076,0.007665781286044137,0.010592003491945232,0.00738203079430937
feature_5,0.005786261,0.0031256931902413484,0.012083775316099351,0.006998576520653076
feature_16,0.006750498,0.0032067451565385187,0.008738768705820944,0.006232003943121413
feature_7_rolling_mean,0.0030682113,0.001876768934922595,0.013096565694592164,0.0060138486283699485
amount_feature_10_ratio,0.003364109,0.00420243631021887,0.010182329432717387,0.00591629157048746
amount_feature_9_ratio,0.0036376468,0.0026103658249929085,0.010986810207205391,0.005744940940930722
feature_8,0.002872783,0.003482364246342827,0.009995726159752267,0.005450291132764719
amount_feature_5_ratio,0.0036909773,0.004375842953277483,0.007293635161826995,0.00512015182103973
location_rolling_std,0.0017151871,0.003926302461476895,0.009490064945677784,0.005043851502305647
feature_8_rolling_std,0.006438903,0.00361383518479948,0.003864764251659742,0.004639167493789487
feature_10_rolling_std,0.0036285105,0.0021766480397351134,0.007251655607510313,0.004352271387794104
